,datetime,open,close,high,low,volume
0,2020-10-26 13:30:00-05:00,67.45,67.45,67.45,67.45,0
1,2020-10-26 13:35:00-05:00,67.45,70.2,70.68,67.33,0
2,2020-10-26 13:40:00-05:00,70.25,70.2,71.25,68.6,0
3,2020-10-26 13:45:00-05:00,70.2,70.68,71.25,68.83,0
4,2020-10-26 13:50:00-05:00,70.68,73.48,73.48,70.68,0
5,2020-10-26 13:55:00-05:00,73.48,74.85,75.1,73.15,0
6,2020-10-26 14:00:00-05:00,74.85,75.83,76.2,72.45,0
7,2020-10-26 14:05:00-05:00,75.83,75.68,76.15,74.15,0
8,2020-10-26 14:10:00-05:00,75.68,74.43,75.7,74.23,0
9,2020-10-26 14:15:00-05:00,74.28,75.05,75.6,73.08,0
10,2020-10-26 14:20:00-05:00,75.05,74.35,75.68,73.75,0
11,2020-10-26 14:25:00-05:00,74.35,72.88,74.48,72.13,0
12,2020-10-26 14:30:00-05:00,72.88,72.8,73.38,71.28,0
13,2020-10-26 14:35:00-05:00,72.8,73.1,73.23,71.7,0
14,2020-10-26 14:40:00-05:00,73.1,73.53,73.53,72.8,0
15,2020-10-26 14:45:00-05:00,73.53,71.55,73.53,69.75,0
16,2020-10-26 14:50:00-05:00,71.55,71.15,73.98,71.08,0
17,2020-10-26 14:55:00-05:00,71.15,70.3,71.4,69.6,0
18,2020-10-26 15:00:00-05:00,70.3,69.63,70.3,68.45,0
19,2020-10-26 15:05:00-05:00,69.63,69.48,70.78,68.75,0
20,2020-10-26 15:10:00-05:00,69.48,69.7,70.05,68.55,0
21,2020-10-26 15:15:00-05:00,69.7,69.3,69.7,68.63,0
22,2020-10-26 15:20:00-05:00,69.3,70.38,70.43,69.3,0
23,2020-10-26 15:25:00-05:00,70.38,70.05,70.75,69.93,0
24,2020-10-26 15:30:00-05:00,70.05,69.28,70.23,69.23,0
25,2020-10-26 15:35:00-05:00,69.28,70.23,70.33,68.93,0
26,2020-10-26 15:40:00-05:00,70.23,69.9,70.68,69.45,0
27,2020-10-26 15:45:00-05:00,69.9,70.6,71.03,69.9,0
28,2020-10-26 15:50:00-05:00,70.6,71.38,71.38,70.13,0
29,2020-10-26 15:55:00-05:00,71.38,70.85,71.95,69.53,0
30,2020-10-26 16:00:00-05:00,70.85,70.9,71.33,70.48,0
31,2020-10-26 16:05:00-05:00,70.9,70.83,71.1,70.58,0
32,2020-10-26 16:10:00-05:00,70.83,71.25,71.63,70.83,0
33,2020-10-26 16:15:00-05:00,71.25,72.18,72.18,71.25,0
