,datetime,open,close,high,low,volume
0,2020-10-26 13:30:00-05:00,8.65,8.65,8.65,8.65,0
1,2020-10-26 13:35:00-05:00,8.65,8.83,8.93,8.65,0
2,2020-10-26 13:40:00-05:00,8.83,8.68,8.83,8.45,0
3,2020-10-26 13:45:00-05:00,8.68,8.88,8.9,8.68,0
4,2020-10-26 13:50:00-05:00,8.88,8.98,9.0,8.88,0
5,2020-10-26 13:55:00-05:00,8.98,8.88,8.98,8.85,0
6,2020-10-26 14:00:00-05:00,8.88,8.88,8.88,8.8,0
7,2020-10-26 14:05:00-05:00,8.88,8.73,8.88,8.7,0
8,2020-10-26 14:10:00-05:00,8.73,8.55,8.73,8.55,0
9,2020-10-26 14:15:00-05:00,8.55,8.6,8.6,8.55,0
10,2020-10-26 14:20:00-05:00,8.6,8.45,8.6,8.45,0
11,2020-10-26 14:25:00-05:00,8.45,8.28,8.45,8.25,0
12,2020-10-26 14:30:00-05:00,8.28,8.33,8.5,8.25,0
13,2020-10-26 14:35:00-05:00,8.33,8.18,8.33,8.13,0
14,2020-10-26 14:40:00-05:00,8.18,8.3,8.3,8.18,0
15,2020-10-26 14:45:00-05:00,8.3,8.05,8.33,8.05,0
16,2020-10-26 14:50:00-05:00,8.05,7.93,8.05,7.93,0
17,2020-10-26 14:55:00-05:00,7.93,7.83,7.98,7.83,0
18,2020-10-26 15:00:00-05:00,7.83,7.7,7.83,7.7,0
19,2020-10-26 15:05:00-05:00,7.7,7.78,7.8,7.7,0
20,2020-10-26 15:10:00-05:00,7.78,7.83,7.85,7.75,0
21,2020-10-26 15:15:00-05:00,7.83,7.68,7.83,7.63,0
22,2020-10-26 15:20:00-05:00,7.68,7.8,7.8,7.68,0
23,2020-10-26 15:25:00-05:00,7.8,7.75,7.85,7.73,0
24,2020-10-26 15:30:00-05:00,7.75,7.68,7.78,7.65,0
25,2020-10-26 15:35:00-05:00,7.68,7.75,7.78,7.68,0
26,2020-10-26 15:40:00-05:00,7.75,7.65,7.83,7.6,0
27,2020-10-26 15:45:00-05:00,7.65,7.8,7.85,7.65,0
28,2020-10-26 15:50:00-05:00,7.8,7.88,7.88,7.75,0
29,2020-10-26 15:55:00-05:00,7.88,7.78,7.9,7.78,0
30,2020-10-26 16:00:00-05:00,7.78,7.73,7.78,7.7,0
31,2020-10-26 16:05:00-05:00,7.73,7.7,7.75,7.7,0
32,2020-10-26 16:10:00-05:00,7.7,7.7,7.73,7.7,0
33,2020-10-26 16:15:00-05:00,7.7,7.7,7.7,7.68,0
34,2020-10-26 16:20:00-05:00,7.7,7.7,7.7,7.7,0
35,2020-10-26 16:25:00-05:00,7.7,7.6,7.73,7.6,0
36,2020-10-26 16:30:00-05:00,7.6,7.4,7.6,7.4,0
37,2020-10-26 16:35:00-05:00,7.4,7.5,7.5,7.4,0
38,2020-10-26 16:40:00-05:00,7.5,7.53,7.55,7.5,0
39,2020-10-26 16:45:00-05:00,7.53,7.4,7.53,7.4,0
40,2020-10-26 16:50:00-05:00,7.4,7.4,7.4,7.4,0
41,2020-10-26 16:55:00-05:00,7.4,7.43,7.48,7.4,0
42,2020-10-26 17:00:00-05:00,7.43,7.38,7.43,7.38,0
43,2020-10-26 17:05:00-05:00,7.38,7.38,7.4,7.35,0
44,2020-10-26 17:10:00-05:00,7.38,7.4,7.43,7.33,0
45,2020-10-26 17:15:00-05:00,7.4,7.45,7.45,7.4,0
46,2020-10-26 17:20:00-05:00,7.45,7.48,7.53,7.45,0
47,2020-10-26 17:25:00-05:00,7.48,7.35,7.48,7.35,0
48,2020-10-26 17:30:00-05:00,7.35,7.25,7.35,7.2,0
49,2020-10-26 17:35:00-05:00,7.25,7.35,7.35,7.25,0
50,2020-10-26 17:40:00-05:00,7.35,7.4,7.4,7.35,0
51,2020-10-26 17:45:00-05:00,7.4,7.48,7.48,7.38,0
52,2020-10-26 17:50:00-05:00,7.48,7.48,7.5,7.48,0
53,2020-10-26 17:55:00-05:00,7.48,7.58,7.58,7.48,0
54,2020-10-26 18:00:00-05:00,7.58,7.58,7.6,7.58,0
55,2020-10-26 18:05:00-05:00,7.58,7.63,7.63,7.58,0
56,2020-10-26 18:10:00-05:00,7.63,7.6,7.65,7.6,0
57,2020-10-26 18:15:00-05:00,7.6,7.63,7.63,7.6,0
58,2020-10-26 18:20:00-05:00,7.63,7.6,7.65,7.6,0
59,2020-10-26 18:25:00-05:00,7.6,7.75,7.75,7.6,0
60,2020-10-26 18:30:00-05:00,7.75,7.75,7.78,7.75,0
61,2020-10-26 18:35:00-05:00,7.75,7.8,7.8,7.75,0
62,2020-10-26 18:40:00-05:00,7.8,7.78,7.85,7.78,0
63,2020-10-26 18:45:00-05:00,7.78,7.65,7.78,7.65,0
64,2020-10-26 18:50:00-05:00,7.65,7.7,7.75,7.65,0
65,2020-10-26 18:55:00-05:00,7.7,7.78,7.83,7.7,0
66,2020-10-26 19:00:00-05:00,7.78,7.73,7.83,7.73,0
67,2020-10-26 19:05:00-05:00,7.73,7.58,7.73,7.58,0
68,2020-10-26 19:10:00-05:00,7.58,7.5,7.63,7.5,0
69,2020-10-26 19:15:00-05:00,7.5,7.6,7.6,7.45,0
70,2020-10-26 19:20:00-05:00,7.6,7.65,7.65,7.6,0
71,2020-10-26 19:25:00-05:00,7.65,7.68,7.68,7.65,0
72,2020-10-26 19:30:00-05:00,7.68,7.68,7.68,7.65,0
73,2020-10-26 19:35:00-05:00,7.68,7.75,7.75,7.68,0
74,2020-10-26 19:40:00-05:00,7.75,7.8,7.8,7.75,0
75,2020-10-26 19:45:00-05:00,7.8,7.73,7.8,7.63,0
76,2020-10-26 19:50:00-05:00,7.73,7.68,7.75,7.65,0
77,2020-10-26 19:55:00-05:00,7.68,7.88,7.9,7.68,0
78,2020-10-27 13:30:00-05:00,6.95,6.95,6.95,6.95,0
79,2020-10-27 13:35:00-05:00,6.95,6.6,6.95,6.55,0
80,2020-10-27 13:40:00-05:00,6.6,6.35,6.6,6.3,0
81,2020-10-27 13:45:00-05:00,6.33,6.25,6.45,6.25,0
82,2020-10-27 13:50:00-05:00,6.25,6.05,6.25,6.03,0
83,2020-10-27 13:55:00-05:00,6.05,5.98,6.05,5.7,0
84,2020-10-27 14:00:00-05:00,5.98,5.83,6.28,5.78,0
85,2020-10-27 14:05:00-05:00,5.83,6.0,6.0,5.8,0
86,2020-10-27 14:10:00-05:00,6.0,6.13,6.15,5.93,0
87,2020-10-27 14:15:00-05:00,6.13,5.98,6.15,5.98,0
88,2020-10-27 14:20:00-05:00,5.98,6.05,6.05,5.98,0
89,2020-10-27 14:25:00-05:00,6.05,6.08,6.1,6.05,0
90,2020-10-27 14:30:00-05:00,6.08,6.33,6.33,6.08,0
91,2020-10-27 14:35:00-05:00,6.33,6.28,6.38,6.28,0
92,2020-10-27 14:40:00-05:00,6.28,6.15,6.28,6.08,0
93,2020-10-27 14:45:00-05:00,6.15,6.28,6.3,6.15,0
94,2020-10-27 14:50:00-05:00,6.28,6.13,6.28,6.13,0
95,2020-10-27 14:55:00-05:00,6.13,6.1,6.18,6.08,0
96,2020-10-27 15:00:00-05:00,6.1,6.18,6.23,6.1,0
97,2020-10-27 15:05:00-05:00,6.18,6.15,6.18,6.13,0
98,2020-10-27 15:10:00-05:00,6.15,6.4,6.4,6.15,0
99,2020-10-27 15:15:00-05:00,6.4,6.5,6.55,6.28,0
100,2020-10-27 15:20:00-05:00,6.5,6.55,6.55,6.5,0
101,2020-10-27 15:25:00-05:00,6.55,6.48,6.55,6.48,0
102,2020-10-27 15:30:00-05:00,6.48,6.4,6.48,6.33,0
103,2020-10-27 15:35:00-05:00,6.4,6.4,6.4,6.38,0
104,2020-10-27 15:40:00-05:00,6.4,6.33,6.45,6.33,0
105,2020-10-27 15:45:00-05:00,6.33,6.25,6.33,6.25,0
106,2020-10-27 15:50:00-05:00,6.25,6.23,6.33,6.2,0
107,2020-10-27 15:55:00-05:00,6.23,6.23,6.25,6.23,0
108,2020-10-27 16:00:00-05:00,6.23,6.2,6.28,6.1,0
109,2020-10-27 16:05:00-05:00,6.2,6.18,6.23,6.13,0
110,2020-10-27 16:10:00-05:00,6.18,6.1,6.18,6.08,0
111,2020-10-27 16:15:00-05:00,6.08,5.9,6.08,5.88,0
112,2020-10-27 16:20:00-05:00,5.9,5.9,5.95,5.88,0
113,2020-10-27 16:25:00-05:00,5.9,5.95,6.03,5.9,0
114,2020-10-27 16:30:00-05:00,5.95,5.88,5.95,5.88,0
115,2020-10-27 16:35:00-05:00,5.88,5.93,5.98,5.88,0
116,2020-10-27 16:40:00-05:00,5.93,5.88,5.93,5.88,0
117,2020-10-27 16:45:00-05:00,5.88,5.7,5.88,5.6,0
118,2020-10-27 16:50:00-05:00,5.7,5.73,5.75,5.7,0
119,2020-10-27 16:55:00-05:00,5.73,5.68,5.73,5.65,0
120,2020-10-27 17:00:00-05:00,5.68,5.83,5.85,5.68,0
121,2020-10-27 17:05:00-05:00,5.83,5.7,5.83,5.7,0
122,2020-10-27 17:10:00-05:00,5.7,5.5,5.7,5.48,0
123,2020-10-27 17:15:00-05:00,5.5,5.53,5.53,5.5,0
124,2020-10-27 17:20:00-05:00,5.53,5.53,5.53,5.5,0
125,2020-10-27 17:25:00-05:00,5.53,5.5,5.53,5.5,0
126,2020-10-27 17:30:00-05:00,5.5,5.5,5.5,5.45,0
127,2020-10-27 17:35:00-05:00,5.5,5.58,5.63,5.48,0
128,2020-10-27 17:40:00-05:00,5.58,5.6,5.6,5.53,0
129,2020-10-27 17:45:00-05:00,5.6,5.7,5.7,5.6,0
130,2020-10-27 17:50:00-05:00,5.7,5.63,5.7,5.63,0
131,2020-10-27 17:55:00-05:00,5.63,5.6,5.63,5.58,0
132,2020-10-27 18:00:00-05:00,5.6,5.58,5.6,5.58,0
133,2020-10-27 18:05:00-05:00,5.58,5.55,5.58,5.53,0
134,2020-10-27 18:10:00-05:00,5.55,5.53,5.63,5.53,0
135,2020-10-27 18:15:00-05:00,5.53,5.5,5.53,5.48,0
136,2020-10-27 18:20:00-05:00,5.5,5.55,5.55,5.5,0
137,2020-10-27 18:25:00-05:00,5.55,5.63,5.63,5.53,0
138,2020-10-27 18:30:00-05:00,5.63,5.6,5.65,5.6,0
139,2020-10-27 18:35:00-05:00,5.6,5.55,5.63,5.55,0
140,2020-10-27 18:40:00-05:00,5.55,5.55,5.63,5.55,0
141,2020-10-27 18:45:00-05:00,5.55,5.55,5.6,5.5,0
142,2020-10-27 18:50:00-05:00,5.55,5.58,5.63,5.55,0
143,2020-10-27 18:55:00-05:00,5.58,5.6,5.6,5.58,0
144,2020-10-27 19:00:00-05:00,5.6,5.6,5.6,5.58,0
145,2020-10-27 19:05:00-05:00,5.6,5.53,5.6,5.53,0
146,2020-10-27 19:10:00-05:00,5.53,5.53,5.55,5.45,0
147,2020-10-27 19:15:00-05:00,5.5,5.48,5.53,5.45,0
148,2020-10-27 19:20:00-05:00,5.48,5.55,5.58,5.48,0
149,2020-10-27 19:25:00-05:00,5.55,5.7,5.73,5.55,0
150,2020-10-27 19:30:00-05:00,5.7,5.75,5.8,5.68,0
151,2020-10-27 19:35:00-05:00,5.75,5.85,5.88,5.75,0
152,2020-10-27 19:40:00-05:00,5.85,5.98,6.0,5.83,0
153,2020-10-27 19:45:00-05:00,5.98,5.88,5.98,5.83,0
154,2020-10-27 19:50:00-05:00,5.88,5.95,6.0,5.83,0
155,2020-10-27 19:55:00-05:00,5.95,5.9,5.95,5.85,0
156,2020-10-28 13:30:00-05:00,5.63,5.63,5.63,5.63,0
157,2020-10-28 13:35:00-05:00,5.63,5.53,5.63,5.53,0
158,2020-10-28 13:40:00-05:00,5.53,5.5,5.55,5.45,0
159,2020-10-28 13:45:00-05:00,5.5,5.38,6.0,5.35,0
160,2020-10-28 13:50:00-05:00,5.33,5.08,5.33,5.08,0
161,2020-10-28 13:55:00-05:00,5.08,5.2,5.58,5.03,0
162,2020-10-28 14:00:00-05:00,5.2,5.15,5.2,5.15,0
163,2020-10-28 14:05:00-05:00,5.15,5.0,5.15,4.95,0
164,2020-10-28 14:10:00-05:00,5.0,4.9,5.05,4.9,0
165,2020-10-28 14:15:00-05:00,4.9,4.9,4.9,4.78,0
166,2020-10-28 14:20:00-05:00,4.9,4.98,4.98,4.88,0
167,2020-10-28 14:25:00-05:00,4.98,4.93,5.0,4.9,0
168,2020-10-28 14:30:00-05:00,4.93,5.03,5.9,4.93,0
169,2020-10-28 14:35:00-05:00,5.03,5.05,5.08,4.95,0
170,2020-10-28 14:40:00-05:00,5.05,5.0,5.08,4.98,0
171,2020-10-28 14:45:00-05:00,5.0,4.98,5.05,4.98,0
172,2020-10-28 14:50:00-05:00,4.98,5.08,5.08,4.98,0
173,2020-10-28 14:55:00-05:00,5.08,5.1,5.35,5.05,0
174,2020-10-28 15:00:00-05:00,5.1,5.13,5.2,5.08,0
175,2020-10-28 15:05:00-05:00,5.13,5.2,5.2,5.0,0
176,2020-10-28 15:10:00-05:00,5.2,5.33,5.35,5.2,0
177,2020-10-28 15:15:00-05:00,5.33,5.1,5.33,5.1,0
178,2020-10-28 15:20:00-05:00,5.1,5.23,5.25,5.03,0
179,2020-10-28 15:25:00-05:00,5.23,5.45,5.55,5.23,0
180,2020-10-28 15:30:00-05:00,5.43,5.18,5.45,5.18,0
181,2020-10-28 15:35:00-05:00,5.18,5.2,5.6,5.18,0
182,2020-10-28 15:40:00-05:00,5.2,5.5,5.6,5.2,0
183,2020-10-28 15:45:00-05:00,5.5,5.35,5.53,5.35,0
184,2020-10-28 15:50:00-05:00,5.35,5.35,5.4,5.35,0
185,2020-10-28 15:55:00-05:00,5.35,5.35,5.35,5.3,0
186,2020-10-28 16:00:00-05:00,5.35,5.33,5.35,5.33,0
187,2020-10-28 16:05:00-05:00,5.33,5.28,5.35,5.25,0
188,2020-10-28 16:10:00-05:00,5.28,5.3,5.33,5.25,0
189,2020-10-28 16:15:00-05:00,5.3,5.2,5.3,5.2,0
190,2020-10-28 16:20:00-05:00,5.2,5.15,5.25,5.15,0
191,2020-10-28 16:25:00-05:00,5.15,5.13,5.18,5.13,0
192,2020-10-28 16:30:00-05:00,5.13,5.15,5.18,5.13,0
193,2020-10-28 16:35:00-05:00,5.15,5.13,5.18,5.13,0
194,2020-10-28 16:40:00-05:00,5.13,5.0,5.13,4.98,0
195,2020-10-28 16:45:00-05:00,5.0,5.03,5.03,4.93,0
196,2020-10-28 16:50:00-05:00,5.03,5.05,5.08,5.03,0
197,2020-10-28 16:55:00-05:00,5.05,5.13,5.3,5.05,0
198,2020-10-28 17:00:00-05:00,5.13,5.0,5.13,5.0,0
199,2020-10-28 17:05:00-05:00,5.0,5.08,5.08,5.0,0
200,2020-10-28 17:10:00-05:00,5.08,4.98,5.08,4.98,0
201,2020-10-28 17:15:00-05:00,4.98,4.98,5.0,4.98,0
202,2020-10-28 17:20:00-05:00,4.98,4.98,5.03,4.98,0
203,2020-10-28 17:25:00-05:00,4.98,5.08,5.08,4.98,0
204,2020-10-28 17:30:00-05:00,5.08,5.05,5.1,5.05,0
205,2020-10-28 17:35:00-05:00,5.05,5.1,5.13,5.05,0
206,2020-10-28 17:40:00-05:00,5.1,5.05,5.13,5.05,0
207,2020-10-28 17:45:00-05:00,5.05,5.05,5.05,5.03,0
208,2020-10-28 17:50:00-05:00,5.05,5.03,5.05,4.95,0
209,2020-10-28 17:55:00-05:00,5.03,5.15,5.28,5.03,0
210,2020-10-28 18:00:00-05:00,5.15,5.08,5.15,5.08,0
211,2020-10-28 18:05:00-05:00,5.08,4.98,5.13,4.95,0
212,2020-10-28 18:10:00-05:00,4.98,5.0,5.03,4.98,0
213,2020-10-28 18:15:00-05:00,5.0,4.95,5.0,4.95,0
214,2020-10-28 18:20:00-05:00,4.95,4.93,4.95,4.93,0
215,2020-10-28 18:25:00-05:00,4.93,4.93,4.95,4.93,0
216,2020-10-28 18:30:00-05:00,4.93,4.93,4.95,4.9,0
217,2020-10-28 18:35:00-05:00,4.93,4.9,4.95,4.9,0
218,2020-10-28 18:40:00-05:00,4.9,4.95,4.95,4.9,0
219,2020-10-28 18:45:00-05:00,4.95,4.9,4.95,4.88,0
220,2020-10-28 18:50:00-05:00,4.9,4.85,4.93,4.85,0
221,2020-10-28 18:55:00-05:00,4.85,4.93,4.93,4.85,0
222,2020-10-28 19:00:00-05:00,4.95,4.93,5.03,4.93,0
223,2020-10-28 19:05:00-05:00,4.93,4.95,4.95,4.9,0
224,2020-10-28 19:10:00-05:00,4.95,5.03,5.05,4.95,0
225,2020-10-28 19:15:00-05:00,5.03,5.08,5.08,5.0,0
226,2020-10-28 19:20:00-05:00,5.08,5.15,5.15,5.05,0
227,2020-10-28 19:25:00-05:00,5.15,5.13,5.23,5.1,0
228,2020-10-28 19:30:00-05:00,5.1,5.2,5.2,5.1,0
229,2020-10-28 19:35:00-05:00,5.2,5.08,5.2,5.08,0
