,datetime,open,close,high,low,volume
35,2020-10-26 16:25:00-05:00,1.08,1.08,1.08,1.08,0
36,2020-10-26 16:30:00-05:00,1.08,1.07,1.12,0.95,0
37,2020-10-26 16:35:00-05:00,1.07,1.07,1.07,1.07,0
38,2020-10-26 16:40:00-05:00,1.07,1.07,1.08,1.07,0
39,2020-10-26 16:45:00-05:00,1.07,1.05,1.15,0.94,0
40,2020-10-26 16:50:00-05:00,1.05,1.05,1.06,1.05,0
41,2020-10-26 16:55:00-05:00,1.05,1.05,1.06,1.05,0
42,2020-10-26 17:00:00-05:00,1.06,1.03,1.08,0.75,0
43,2020-10-26 17:05:00-05:00,1.03,1.02,1.03,0.89,0
44,2020-10-26 17:10:00-05:00,1.02,1.0,1.04,0.88,0
45,2020-10-26 17:15:00-05:00,1.0,1.01,1.02,1.0,0
46,2020-10-26 17:20:00-05:00,1.01,1.01,1.03,0.99,0
47,2020-10-26 17:25:00-05:00,1.01,1.02,1.02,1.01,0
48,2020-10-26 17:30:00-05:00,1.02,1.01,1.14,1.0,0
49,2020-10-26 17:35:00-05:00,1.01,1.02,1.5,1.0,0
50,2020-10-26 17:40:00-05:00,1.03,1.04,1.14,1.02,0
51,2020-10-26 17:45:00-05:00,1.03,1.05,1.05,0.91,0
52,2020-10-26 17:50:00-05:00,1.05,1.04,1.05,0.91,0
53,2020-10-26 17:55:00-05:00,1.04,1.04,1.05,0.92,0
54,2020-10-26 18:00:00-05:00,1.04,1.07,1.07,0.93,0
55,2020-10-26 18:05:00-05:00,1.07,1.09,1.09,1.07,0
56,2020-10-26 18:10:00-05:00,1.09,1.09,1.1,0.97,0
57,2020-10-26 18:15:00-05:00,1.08,1.09,1.1,1.08,0
58,2020-10-26 18:20:00-05:00,1.09,1.1,1.1,1.09,0
59,2020-10-26 18:25:00-05:00,1.1,1.12,1.13,1.1,0
60,2020-10-26 18:30:00-05:00,1.12,1.11,1.23,0.99,0
61,2020-10-26 18:35:00-05:00,1.16,1.12,1.23,1.0,0
62,2020-10-26 18:40:00-05:00,1.12,1.12,1.23,1.0,0
63,2020-10-26 18:45:00-05:00,1.12,1.1,1.13,1.0,0
64,2020-10-26 18:50:00-05:00,1.11,1.11,1.22,1.1,0
65,2020-10-26 18:55:00-05:00,1.11,1.08,1.12,0.98,0
66,2020-10-26 19:00:00-05:00,1.09,1.1,1.12,1.09,0
