,datetime,open,close,high,low,volume
0,2020-10-26 13:30:00-05:00,49.55,49.55,49.55,49.55,0
1,2020-10-26 13:35:00-05:00,49.55,50.25,51.63,49.55,0
2,2020-10-26 13:40:00-05:00,50.25,49.95,50.53,48.93,0
3,2020-10-26 13:45:00-05:00,49.95,51.18,51.18,49.35,0
4,2020-10-26 13:50:00-05:00,51.18,50.7,52.15,50.45,0
5,2020-10-26 13:55:00-05:00,50.7,49.68,51.25,49.68,0
6,2020-10-26 14:00:00-05:00,49.68,50.68,50.7,48.83,0
7,2020-10-26 14:05:00-05:00,50.68,49.6,50.68,49.2,0
8,2020-10-26 14:10:00-05:00,49.6,48.13,49.63,48.03,0
9,2020-10-26 14:15:00-05:00,48.13,48.68,48.88,48.13,0
10,2020-10-26 14:20:00-05:00,48.68,48.05,48.68,47.85,0
11,2020-10-26 14:25:00-05:00,48.05,47.4,48.08,47.4,0
12,2020-10-26 14:30:00-05:00,47.4,46.85,47.8,46.7,0
13,2020-10-26 14:35:00-05:00,46.85,46.93,46.93,46.35,0
14,2020-10-26 14:40:00-05:00,46.93,47.35,47.85,46.93,0
15,2020-10-26 14:45:00-05:00,47.35,46.68,47.35,46.1,0
16,2020-10-26 14:50:00-05:00,46.68,46.45,46.68,46.2,0
17,2020-10-26 14:55:00-05:00,46.45,45.83,46.48,45.8,0
18,2020-10-26 15:00:00-05:00,45.83,44.88,45.83,44.7,0
19,2020-10-26 15:05:00-05:00,44.88,45.03,45.2,44.85,0
20,2020-10-26 15:10:00-05:00,45.03,45.2,45.4,45.03,0
21,2020-10-26 15:15:00-05:00,45.2,44.7,45.23,44.7,0
22,2020-10-26 15:20:00-05:00,44.7,44.78,45.4,44.6,0
23,2020-10-26 15:25:00-05:00,44.78,44.28,44.85,44.28,0
24,2020-10-26 15:30:00-05:00,44.28,44.08,44.5,43.9,0
25,2020-10-26 15:35:00-05:00,44.08,44.35,44.4,43.85,0
26,2020-10-26 15:40:00-05:00,44.35,43.9,44.45,43.9,0
27,2020-10-26 15:45:00-05:00,43.9,44.55,44.65,43.9,0
28,2020-10-26 15:50:00-05:00,44.55,44.75,44.78,44.4,0
29,2020-10-26 15:55:00-05:00,44.78,44.35,44.78,44.35,0
30,2020-10-26 16:00:00-05:00,44.35,44.15,44.35,43.78,0
31,2020-10-26 16:05:00-05:00,44.18,44.4,44.4,44.18,0
32,2020-10-26 16:10:00-05:00,44.4,44.6,44.9,44.4,0
33,2020-10-26 16:15:00-05:00,44.6,44.9,45.03,44.6,0
34,2020-10-26 16:20:00-05:00,44.9,44.68,44.93,44.58,0
35,2020-10-26 16:25:00-05:00,44.68,44.75,44.75,44.68,0
36,2020-10-26 16:30:00-05:00,44.75,44.13,44.75,44.08,0
37,2020-10-26 16:35:00-05:00,44.13,44.0,44.15,44.0,0
38,2020-10-26 16:40:00-05:00,44.0,43.85,44.05,43.85,0
39,2020-10-26 16:45:00-05:00,43.85,43.28,43.85,43.23,0
40,2020-10-26 16:50:00-05:00,43.28,43.3,43.58,42.7,0
41,2020-10-26 16:55:00-05:00,43.3,42.88,43.3,42.7,0
42,2020-10-26 17:00:00-05:00,42.88,42.53,42.93,42.1,0
43,2020-10-26 17:05:00-05:00,42.53,42.7,42.7,42.35,0
44,2020-10-26 17:10:00-05:00,42.7,42.68,42.75,42.68,0
45,2020-10-26 17:15:00-05:00,42.68,42.48,42.75,42.4,0
46,2020-10-26 17:20:00-05:00,42.48,43.08,43.18,42.48,0
47,2020-10-26 17:25:00-05:00,43.08,42.5,43.08,42.5,0
48,2020-10-26 17:30:00-05:00,42.5,42.03,42.5,41.93,0
49,2020-10-26 17:35:00-05:00,42.03,42.43,42.43,42.03,0
50,2020-10-26 17:40:00-05:00,42.43,42.38,42.43,42.38,0
51,2020-10-26 17:45:00-05:00,42.38,42.75,42.75,42.38,0
52,2020-10-26 17:50:00-05:00,42.75,42.75,42.75,42.73,0
53,2020-10-26 17:55:00-05:00,42.75,42.5,42.78,42.35,0
54,2020-10-26 18:00:00-05:00,42.5,42.75,42.75,42.5,0
55,2020-10-26 18:05:00-05:00,42.75,43.8,44.48,42.75,0
56,2020-10-26 18:10:00-05:00,43.8,43.2,43.8,43.2,0
57,2020-10-26 18:15:00-05:00,43.2,43.98,43.98,43.2,0
58,2020-10-26 18:20:00-05:00,43.98,44.13,44.18,43.98,0
59,2020-10-26 18:25:00-05:00,44.13,44.55,44.63,44.13,0
60,2020-10-26 18:30:00-05:00,44.55,44.88,44.88,44.55,0
61,2020-10-26 18:35:00-05:00,44.88,45.73,45.73,44.88,0
62,2020-10-26 18:40:00-05:00,45.73,45.55,46.13,45.5,0
63,2020-10-26 18:45:00-05:00,45.55,45.35,45.55,45.25,0
64,2020-10-26 18:50:00-05:00,45.35,45.7,45.73,45.35,0
65,2020-10-26 18:55:00-05:00,45.7,45.85,46.1,45.43,0
66,2020-10-26 19:00:00-05:00,45.85,45.75,46.18,45.48,0
67,2020-10-26 19:05:00-05:00,45.75,45.73,45.8,45.38,0
68,2020-10-26 19:10:00-05:00,45.73,45.7,45.75,45.7,0
69,2020-10-26 19:15:00-05:00,45.7,45.73,46.35,45.7,0
70,2020-10-26 19:20:00-05:00,45.73,45.93,45.93,45.73,0
71,2020-10-26 19:25:00-05:00,45.93,46.0,46.0,45.93,0
72,2020-10-26 19:30:00-05:00,46.0,46.53,46.63,46.0,0
73,2020-10-26 19:35:00-05:00,46.53,46.4,46.53,46.4,0
74,2020-10-26 19:40:00-05:00,46.4,46.78,46.93,46.4,0
